                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                 1.3595,                0.96389,                0.94956,                0.43742,                0.32887,                0.32886,                0.19164,                 1.3265,                0.96763,                0.93491,                0.00307,                0.00307,                0.00307
                    142,                 1.3532,                0.96263,                0.94961,                0.44074,                0.32788,                0.32935,                0.19191,                 1.3268,                0.96721,                0.93493,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.3511,                0.95977,                 0.9481,                0.43963,                0.32837,                0.32888,                0.19182,                 1.3266,                0.96685,                0.93488,               0.002971,               0.002971,               0.002971
                    144,                 1.3474,                0.95883,                0.94883,                 0.4413,                0.32778,                0.32883,                0.19182,                 1.3263,                 0.9666,                0.93481,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.3593,                0.96238,                0.94843,                0.44019,                0.32934,                0.32904,                0.19188,                 1.3261,                0.96631,                0.93473,               0.002872,               0.002872,               0.002872
                    146,                  1.352,                0.95728,                0.94979,                0.43866,                0.32988,                0.32912,                0.19201,                 1.3258,                0.96603,                0.93475,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.3552,                 0.9633,                0.94912,                0.43734,                0.33159,                0.32961,                 0.1923,                 1.3258,                0.96559,                0.93485,               0.002773,               0.002773,               0.002773
                    148,                 1.3475,                0.95323,                0.94972,                0.43698,                0.33191,                 0.3298,                0.19243,                 1.3256,                0.96519,                0.93482,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.3487,                0.95109,                0.94703,                 0.4378,                0.33182,                0.32974,                0.19252,                 1.3254,                0.96481,                 0.9348,               0.002674,               0.002674,               0.002674
                    150,                 1.3489,                0.95323,                0.94942,                0.43768,                0.33143,                0.32991,                 0.1925,                 1.3254,                0.96452,                0.93476,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.3395,                 0.9483,                0.94705,                0.43894,                0.33129,                0.33031,                0.19253,                 1.3252,                0.96423,                0.93471,               0.002575,               0.002575,               0.002575
                    152,                 1.3498,                0.95204,                 0.9467,                0.43889,                0.33051,                0.33035,                0.19264,                 1.3249,                0.96391,                0.93461,              0.0025255,              0.0025255,              0.0025255
